,(Intercept),TimeC,TimeE,Fw_dist_km,TimeC:Fw_dist_km,TimeE:Fw_dist_km
55,-0.379285854,0.379285854,0.379285854,0.015930436,-0.015930436,-0.015930436
59,-0.379285854,0.379285854,0.379285854,0.015930436,-0.015930436,-0.015930436
69,-0.344756297,0.344756297,0.344756297,0.017154948,-0.017154948,-0.017154948
282,-1.96E-16,6.73E-16,0.425046979,-2.20E-17,2.71E-17,-0.017852455
51,-0.452130116,0.452130116,0.452130116,0.018989978,-0.018989978,-0.018989978
293,-5.82E-16,7.96E-16,0.504430289,7.80E-18,1.81E-17,-0.025100267
20,-0.189742832,0.189742832,0.189742832,0.02824285,-0.02824285,-0.02824285
8,-0.326863673,0.326863673,0.326863673,0.031579707,-0.031579707,-0.031579707
77,-0.735593641,0.735593641,0.735593641,0.036602872,-0.036602872,-0.036602872
13,-0.38110183,0.38110183,0.38110183,0.036819889,-0.036819889,-0.036819889
64,-0.88919569,0.88919569,0.88919569,0.037347228,-0.037347228,-0.037347228
63,-0.925617822,0.925617822,0.925617822,0.038876999,-0.038876999,-0.038876999
288,-2.86E-16,8.57E-16,0.78359982,-4.50E-17,7.01E-17,-0.038991642
67,-0.791427547,0.791427547,0.791427547,0.039381146,-0.039381146,-0.039381146
10,-0.408220908,0.408220908,0.408220908,0.03943998,-0.03943998,-0.03943998
70,-0.847261453,0.847261453,0.847261453,0.042159421,-0.042159421,-0.042159421
2,-0.462459065,0.462459065,0.462459065,0.044680161,-0.044680161,-0.044680161
68,-0.958929266,0.958929266,0.958929266,0.047715971,-0.047715971,-0.047715971
300,6.68E-16,2.45E-16,1.118603258,-1.00E-16,1.27E-16,-0.055661291
52,-1.326261265,1.326261265,1.326261265,0.055704478,-0.055704478,-0.055704478
66,-1.182264891,1.182264891,1.182264891,0.05882907,-0.05882907,-0.05882907
9,-0.787888004,0.787888004,0.787888004,0.076121253,-0.076121253,-0.076121253
72,-1.573102235,1.573102235,1.573102235,0.078276994,-0.078276994,-0.078276994
12,-0.815007083,0.815007083,0.815007083,0.078741343,-0.078741343,-0.078741343
28,-0.561430485,0.561430485,0.561430485,0.08356783,-0.08356783,-0.08356783
5,-0.950602474,0.950602474,0.950602474,0.091841798,-0.091841798,-0.091841798
296,-5.37E-16,1.96E-15,1.900277945,-6.53E-17,1.18E-16,-0.094557138
301,4.41E-16,1.10E-15,2.179447477,-1.42E-16,2.17E-16,-0.108448512
290,-4.02E-16,2.94E-15,2.793620445,-1.12E-16,1.54E-16,-0.139009536
299,-1.96E-15,4.16E-15,2.849454352,-5.67E-17,1.18E-16,-0.14178781
246,-4.56E-15,5.02E-15,1.262994635,-1.10E-16,1.99E-16,-0.187994283
287,4.73E-16,3.43E-15,4.077800289,-3.60E-16,4.34E-16,-0.202909857
241,1.16E-15,4.90E-16,1.554317389,-5.83E-16,7.41E-16,-0.231357106
247,-2.87E-15,3.43E-15,1.705001573,-5.97E-16,7.05E-16,-0.253786152
3,-2.631985331,2.631985331,2.631985331,0.254287435,-0.254287435,-0.254287435
294,-5.21E-15,1.08E-14,6.087820914,-3.17E-17,1.45E-16,-0.302927751
291,-4.81E-15,1.03E-14,7.260332946,-1.10E-16,3.26E-16,-0.361271522
240,-9.26E-15,5.63E-15,2.91047504,-2.42E-17,3.26E-16,-0.433218521
254,-2.27E-15,1.96E-15,3.282162693,-6.64E-16,1.16E-15,-0.488543502
244,1.66E-15,1.96E-15,3.4529381,-3.93E-16,7.60E-16,-0.513963088
224,1.63E-14,-4.90E-16,5.861815546,-1.60E-15,1.41E-15,-0.566335239
250,-1.22E-14,2.77E-14,4.186267793,-1.26E-15,1.19E-15,-0.623117779
248,3.68E-15,-7.59E-15,4.316860752,-7.66E-16,1.16E-15,-0.642556286
243,-4.06E-16,-2.94E-15,4.367088813,-4.64E-16,8.68E-16,-0.650032635
239,-7.99E-15,7.34E-15,4.387180038,-1.59E-15,2.39E-15,-0.653023174
251,5.14E-15,-7.10E-15,4.407271262,-1.03E-15,1.23E-15,-0.656013714
298,-3.32E-15,1.27E-14,13.73706607,-7.47E-16,1.30E-15,-0.683551403
245,-2.31E-14,2.01E-14,5.843793811,1.49E-17,3.62E-16,-0.869837287
225,-2.34E-14,4.80E-14,9.441533885,-1.18E-15,6.51E-16,-0.912187241
289,-1.24E-14,2.35E-14,18.4271142,-5.07E-16,1.30E-15,-0.916926489
242,-1.27E-14,4.90E-15,7.571639114,-1.31E-16,1.81E-15,-1.127023684
249,-2.68E-14,2.94E-15,7.6419584,1.54E-17,1.37E-15,-1.137490572
223,1.48E-14,1.37E-14,12.61446605,-4.15E-15,3.98E-15,-1.21873788
227,-4.40E-15,4.90E-15,14.56703969,7.85E-17,5.79E-16,-1.407384426
226,-3.48E-14,3.52E-14,17.87556724,-7.51E-16,2.03E-15,-1.727035519
